model, test_case, trials, image, blocksize_x, blocksize_y, rows, cols, total_pixels, avg_time(us)
GPGPU, baseline, 1000, earth_set/earth-441-441.jpg, 32, 32, 441, 441, 194481, 15.607000
GPGPU, fastsqrt, 1000, earth_set/earth-5000-5000.jpg, 1, 1, 5000, 5000, 25000000, 15253.191406
GPGPU, fastsqrt, 1000, earth_set/earth-883-883.jpg, 22, 22, 883, 883, 779689, 45.313000
GPGPU, baseline, 1000, earth_set/earth-441-441.jpg, 32, 16, 441, 441, 194481, 16.049999
GPGPU, fastsqrt, 1000, earth_set/earth-220-220.jpg, 4, 32, 220, 220, 48400, 7.815000
GPGPU, fastsqrt, 1000, earth_set/earth-1250-1250.jpg, 32, 4, 1250, 1250, 1562500, 59.726002
GPGPU, baseline, 1000, earth_set/earth-3535-3535.jpg, 32, 8, 3535, 3535, 12496225, 157.212997
GPGPU, baseline, 1000, earth_set/earth-2500-2500.jpg, 22, 22, 2500, 2500, 6250000, 110.848000
GPGPU, fastsqrt, 1000, earth_set/earth-2500-2500.jpg, 32, 2, 2500, 2500, 6250000, 114.643997
GPGPU, fastsqrt, 1000, earth_set/earth-1250-1250.jpg, 32, 2, 1250, 1250, 1562500, 64.373001
GPGPU, baseline, 1000, earth_set/earth-441-441.jpg, 22, 22, 441, 441, 194481, 19.250999
GPGPU, baseline, 1000, earth_set/earth-3535-3535.jpg, 32, 32, 3535, 3535, 12496225, 202.244003
GPGPU, fastsqrt, 1000, earth_set/earth-883-883.jpg, 32, 4, 883, 883, 779689, 44.085999
GPGPU, baseline, 1000, earth_set/earth-5000-5000.jpg, 1, 1, 5000, 5000, 25000000, 15588.184570
GPGPU, baseline, 1000, earth_set/earth-2500-2500.jpg, 32, 32, 2500, 2500, 6250000, 127.901001
GPGPU, baseline, 1000, earth_set/earth-3535-3535.jpg, 32, 1, 3535, 3535, 12496225, 281.938995
GPGPU, fastsqrt, 1000, earth_set/earth-441-441.jpg, 32, 32, 441, 441, 194481, 16.091999
GPGPU, fastsqrt, 1000, earth_set/earth-2500-2500.jpg, 22, 22, 2500, 2500, 6250000, 108.567001
GPGPU, fastsqrt, 1000, earth_set/earth-441-441.jpg, 4, 32, 441, 441, 194481, 17.493000
GPGPU, baseline, 1000, earth_set/earth-1767-1767.jpg, 32, 2, 1767, 1767, 3122289, 92.198997
GPGPU, fastsqrt, 1000, earth_set/earth-441-441.jpg, 32, 4, 441, 441, 194481, 15.255000
GPGPU, fastsqrt, 1000, earth_set/earth-5000-5000.jpg, 32, 8, 5000, 5000, 25000000, 256.315002
GPGPU, baseline, 1000, earth_set/earth-5000-5000.jpg, 32, 8, 5000, 5000, 25000000, 266.140991
GPGPU, baseline, 1000, earth_set/earth-7071-7071.jpg, 4, 32, 7071, 7071, 49999041, 761.085022
GPGPU, baseline, 1000, earth_set/earth-220-220.jpg, 32, 1, 220, 220, 48400, 8.019000
GPGPU, baseline, 1000, earth_set/earth-1767-1767.jpg, 32, 1, 1767, 1767, 3122289, 116.679001
GPGPU, baseline, 1000, earth_set/earth-220-220.jpg, 32, 16, 220, 220, 48400, 7.322000
BASE, fastsqrt, 1000, earth_set/earth-1767-1767.jpg, , , 1767, 1767, 3122289, 1740.878052
GPGPU, fastsqrt, 1000, earth_set/earth-1767-1767.jpg, 32, 4, 1767, 1767, 3122289, 75.327003
GPGPU, fastsqrt, 1000, earth_set/earth-441-441.jpg, 32, 2, 441, 441, 194481, 16.021999
GPGPU, sharedmemory, 100, earth_set/earth-5000-5000.jpg, 32, 4, 5000, 5000, 25000000, 330.429993
GPGPU, sharedmemory, 100, earth_set/earth-10000-10000.jpg, 32, 4, 10000, 10000, 100000000, 1000.150024
GPGPU, baseline, 1000, earth_set/earth-15000-15000.jpg, 1, 1, 15000, 15000, 225000000, 140953.437500
GPGPU, baseline, 1000, earth_set/earth-10000-10000.jpg, 32, 16, 10000, 10000, 100000000, 961.455017
BASE, baseline, 1000, earth_set/earth-5000-5000.jpg, , , 5000, 5000, 25000000, 45179.394531
GPGPU, baseline, 1000, earth_set/earth-10000-10000.jpg, 32, 2, 10000, 10000, 100000000, 1109.879028
GPGPU, fastsqrt, 1000, earth_set/earth-3535-3535.jpg, 1, 1, 3535, 3535, 12496225, 7646.943848
GPGPU, baseline, 1000, earth_set/earth-883-883.jpg, 32, 32, 883, 883, 779689, 52.167999
GPGPU, baseline, 1000, earth_set/earth-10000-10000.jpg, 32, 8, 10000, 10000, 100000000, 915.788025
GPGPU, fastsqrt, 1000, earth_set/earth-1250-1250.jpg, 32, 8, 1250, 1250, 1562500, 60.073002
GPGPU, sharedmemory, 100, earth_set/earth-220-220.jpg, 32, 4, 220, 220, 48400, 7.650000
GPGPU, fastsqrt, 1000, earth_set/earth-10000-10000.jpg, 32, 4, 10000, 10000, 100000000, 868.749023
BASE, baseline, 1000, earth_set/earth-3535-3535.jpg, , , 3535, 3535, 12496225, 22611.533203
BASE, fastsqrt, 1000, earth_set/earth-5000-5000.jpg, , , 5000, 5000, 25000000, 13660.421875
BASE, fastsqrt, 1000, earth_set/earth-220-220.jpg, , , 220, 220, 48400, 27.740999
